=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.07.26 22:04:39 =~=~=~=~=~=~=~=~=~=~=~=
Tstart,A0,A1,Tstop
1311328,428,159,1311552
1313452,427,158,1313680
1315580,428,158,1315808
1317704,427,158,1317928
1319828,428,158,1320056
1321952,427,158,1322176
1324076,428,158,1324304
1326204,427,158,1326432
1328328,428,158,1328552
1330452,427,159,1330680
1332576,428,158,1332800
1334704,427,158,1334928
1336828,428,159,1337056
1338952,428,158,1339176
1341076,427,158,1341304
1343204,428,159,1343432
1345328,427,158,1345552
1347452,428,159,1347680
1349576,427,158,1349800
1351704,428,159,1351928
1353828,428,158,1354056
1355952,428,159,1356176
1358080,427,158,1358304
1360204,428,158,1360432
1362328,427,158,1362552
1364452,428,158,1364680
1366580,427,158,1366808
1368704,428,159,1368928
1370828,427,158,1371056
1372952,427,158,1373176
1375076,428,159,1375304
1377204,427,158,1377432
1379336,428,158,1379560
1381452,427,158,1381680
1383580,428,158,1383808
1385704,427,159,1385928
1387828,428,158,1388056
1389952,428,158,1390176
1392080,428,159,1392304
1394204,427,158,1394432
1396328,428,159,1396552
1398452,427,158,1398680
1400580,428,159,1400808
1402704,428,158,1402928
1404828,428,158,1405056
1406952,428,159,1407176
1409076,427,158,1409304
1411204,428,158,1411432
1413328,427,158,1413552
1415452,428,159,1415680
1417580,428,158,1417808
1419704,428,159,1419928
1421828,428,158,1422056
1423952,428,159,1424176
1426080,428,158,1426304
1428204,428,159,1428432
1430328,427,158,1430552
1432452,428,158,1432680
1434580,428,158,1434808
1436704,428,159,1436928
1438828,428,158,1439056
1440952,428,158,1441176
1443080,428,158,1443304
1445204,428,158,1445432
1447328,428,158,1447552
1449452,428,158,1449680
1451580,428,159,1451808
1453704,428,158,1453928
1455828,428,159,1456056
1457952,428,158,1458184
1460076,428,158,1460304
1462204,428,158,1462432
1464336,428,158,1464560
1466452,428,158,1466680
1468576,428,158,1468800
1470704,428,158,1470928
1472828,428,158,1473056
1474952,428,158,1475176
1477080,428,158,1477304
1479204,428,158,1479432
1481328,428,158,1481552
1483452,428,159,1483680
1485576,428,158,1485800
1487704,428,159,1487928
1489828,428,158,1490056
1491952,428,159,1492176
1494080,428,158,1494304
1496204,428,158,1496432
1498328,428,158,1498552
1500452,428,158,1500680
