t,e0,e1
134.292969,1,1
134.295227,1,1
134.297485,1,1
134.299738,1,1
134.302047,1,1
134.304311,1,1
134.306562,1,1
134.308817,1,1
134.311068,1,1
134.313344,1,1
134.315603,1,1
134.317853,1,1
134.320111,1,1
134.322381,1,1
134.324635,1,1
134.326896,1,1
134.329154,1,1
134.331411,1,1
134.333662,1,1
134.335921,1,1
134.338183,1,1
134.340438,1,1
134.342703,1,1
134.344958,1,1
134.347215,1,1
134.349463,1,1
134.351720,1,1
134.353975,1,1
134.356229,1,1
134.358479,1,1
134.360733,1,1
134.363004,1,1
134.365287,1,1
134.367550,1,1
134.369808,1,1
134.372080,1,1
134.374333,1,1
134.376589,1,1
134.378842,1,1
134.381143,1,1
134.383457,1,1
134.385700,1,1
134.387942,1,1
134.390180,1,1
134.392427,1,1
134.394687,1,1
134.396944,1,1
134.399202,1,1
134.401456,1,1
134.403706,1,1
134.405956,1,1
134.408216,1,1
134.410468,1,1
134.412740,1,1
134.414997,1,1
134.417253,1,1
134.419509,1,1
134.421757,1,1
134.424015,1,1
134.426270,1,1
134.428526,1,1
134.430781,1,1
134.433059,1,1
134.435320,1,1
134.437573,1,1
134.439828,1,1
134.442100,1,1
134.444352,1,1
134.446602,1,1
134.448859,1,1
134.451113,1,1
134.453364,1,1
134.455621,1,1
134.457877,1,1
134.460128,1,1
134.462397,1,1
134.464660,1,1
134.466919,1,1
134.469258,1,1
134.471517,1,1
134.473776,1,1
134.476031,1,1
134.478284,1,1
134.480550,1,1
134.482832,1,1
134.485134,1,1
134.487432,1,1
134.489691,1,1
134.492004,1,1
134.494262,1,1
134.496733,1,1
134.498994,1,1
134.501299,1,1
134.503582,1,1
134.505838,1,1
134.508094,1,1
134.510346,1,1
134.512606,1,1
134.514867,1,1
134.517169,1,1
134.519469,1,1
134.521719,1,1
134.523971,1,1
134.526220,1,1
134.528476,1,1
134.530734,1,1
134.533004,1,1
134.535260,1,1
134.537518,1,1
134.539772,1,1
134.542077,1,1
134.544338,1,1
134.546578,1,1
134.548820,1,1
134.551060,1,1
134.553314,1,1
134.555683,1,1
134.557947,1,1
134.560211,1,1
134.562488,1,1
134.564748,1,1
134.567008,1,1
134.569262,1,1
134.571514,1,1
134.573767,1,1
134.576030,1,1
134.578285,1,1
134.580546,1,1
134.582817,1,1
134.585081,1,1
134.587336,1,1
134.589584,1,1
134.591841,1,1
134.594098,1,1
134.596354,1,1
134.598607,1,1
134.600865,1,1
134.603136,1,1
134.605384,1,1
134.607642,1,1
134.609891,1,1
134.612161,1,1
134.614413,1,1
134.616672,1,1
134.618925,1,1
134.621259,1,1
134.623534,1,1
134.625790,1,1
134.628046,1,1
134.630298,1,1
134.632563,1,1
134.634805,1,1
134.637050,1,1
134.639341,1,1
134.641579,1,1
134.643837,1,1
134.646089,1,1
134.648353,1,1
134.650610,1,1
134.652882,1,1
134.655140,1,1
134.657394,1,1
134.659647,1,1
134.661896,1,1
134.664227,1,1
134.666481,1,1
134.668737,1,1
134.670995,1,1
134.673269,1,1
134.675523,1,1
134.677772,1,1
134.680035,1,1
134.682313,1,1
134.684569,1,1
134.686818,1,1
134.689078,1,1
134.691333,1,1
134.693583,1,1
134.695831,1,1
134.698076,1,1
134.700318,1,1
134.702616,1,1
134.704892,1,1
134.707149,1,1
134.709400,1,1
134.711654,1,1
134.713909,1,1
134.716165,1,1
134.718420,1,1
134.720678,1,1
134.722956,1,1
134.725294,1,1
134.727558,1,1
134.729813,1,1
134.732094,1,1
134.734345,1,1
134.736603,1,1
134.738852,1,1
134.741145,1,1
134.743398,1,1
134.745654,1,1
134.747910,1,1
134.750159,1,1
134.752438,1,1
134.754694,1,1
134.756947,1,1
134.759204,1,1
134.761461,1,1
134.763713,1,1
134.765963,1,1
134.768224,1,1
134.770476,1,1
134.772754,1,1
134.775012,1,1
134.777267,1,1
134.779524,1,1
134.781776,1,1
134.784036,1,1
134.786290,1,1
134.788548,1,1
134.790802,1,1
134.793079,1,1
134.795338,1,1
134.797594,1,1
134.799856,1,1
134.802129,1,1
134.804384,1,1
134.806634,1,1
134.808892,1,1
134.811143,1,1
134.813401,1,1
134.815663,1,1
134.817920,1,1
134.820171,1,1
134.822443,1,1
134.824706,1,1
134.826951,1,1
134.829284,1,1
134.831547,1,1
134.833807,1,1
134.836062,1,1
134.838316,1,1
134.840573,1,1
134.842858,1,1
134.845157,1,1
134.847420,1,1
134.849678,1,1
134.851927,1,1
134.854254,1,1
134.856511,1,1
134.858765,1,1
134.861018,1,1
134.863292,1,1
134.865550,1,1
134.867808,1,1
134.870061,1,1
134.872341,1,1
134.874596,1,1
134.876848,1,1
134.879104,1,1
134.881368,1,1
134.883597,1,1
134.885839,1,1
134.888085,1,1
134.890329,1,1
134.892574,1,1
134.894829,1,1
134.897089,1,1
134.899343,1,1
134.901595,1,1
134.903849,1,1
134.906104,1,1
134.908357,1,1
134.910603,1,1
134.912883,1,1
134.915142,1,1
134.917409,1,1
134.919667,1,1
134.921920,1,1
134.924249,1,1
134.926498,1,1
134.928757,1,1
134.931014,1,1
134.933354,1,1
134.935615,1,1
134.937873,1,1
134.940129,1,1
134.942402,1,1
134.944658,1,1
134.946913,1,1
134.949214,1,1
134.951510,1,1
134.953763,1,1
134.956018,1,1
134.958267,1,1
134.960522,1,1
134.962799,1,1
134.965052,1,1
134.967310,1,1
134.969570,1,1
134.971825,1,1
134.974081,1,1
134.976340,1,1
134.978597,1,1
134.980860,1,1
134.983137,1,1
134.985394,1,1
134.987650,1,1
134.989898,1,1
134.992173,1,1
134.994431,1,1
134.996684,1,1
134.998944,1,1
135.001204,1,1
135.003477,1,1
135.005725,1,1
135.007985,1,1
135.010240,1,1
135.012501,1,1
135.014752,1,1
135.017009,1,1
135.019264,1,1
